
#$Filter:op09
#$	0	1	 1
#$	1	op06	 0.251188643150958
#$	2	op09	op09
#$	3	op18*op18*op18	3.9810717055349725e-06
#$	4	ns12	1e-7
#$	5	0	 1e-22
#$POWER:61.2, mW
#$WAVELENGTH:532,nm
#$OBJECT:635, on wires	=	=	=	=
angle	ref	signal	signal_std	filter	Time
38.5	0.15625	0.0108779794003	0.00322315130531	2	1510218933.4346874
39.0	0.1546875	0.00690385259903	0.00405380715907	2	1510218934.4294019
39.0	0.15625	0.0107684251211	0.00338823852263	2	1510218935.4333458
39.5	0.15625	0.0112319690507	0.0033509107767	2	1510218936.4301229
39.5	0.15625	0.0106524405992	0.00355926330945	2	1510218937.4379373
40.0	0.15625	0.00988039626289	0.00263671689715	2	1510218938.4267964
40.0	0.15625	0.00938844086022	0.00277982002876	2	1510218939.433631
40.5	0.1578125	0.00422543478261	0.00552322943249	2	1510218940.4294984
40.5	0.1546875	0.00981628543814	0.00234080493484	2	1510218941.4373305
41.0	0.15625	0.0096393870048	0.00297617533896	2	1510218942.4333017
41.5	0.1578125	0.00905029676959	0.00373868363891	2	1510218943.4300513
41.5	0.15625	0.00898689516129	0.00327669816458	2	1510218944.425867
42.0	0.1546875	0.0098493772509	0.00322174758217	2	1510218945.4298587
42.0	0.1578125	0.00963389667269	0.00292701655953	2	1510218946.43974
42.5	0.15625	0.00881300403226	0.00305192260628	2	1510218947.437552
43.0	0.1578125	0.00993489583333	0.000920373883053	2	1510218948.4332747
43.0	0.1546875	0.00871743415257	0.00263213475594	2	1510218949.4296873
43.5	0.1546875	0.00993657594086	0.00323233476392	2	1510218950.4359586
43.5	0.1546875	0.00918882091512	0.00271460906432	2	1510218951.433511
44.0	0.15625	0.00816793478261	0.0036084370508	2	1510218952.430238
44.0	0.1546875	0.00834386568096	0.00237010408794	2	1510218953.4250822
44.5	0.159375	0.0080042514217	0.000896729539329	2	1510218954.4304965
44.5	0.15625	0.00782629981804	0.00257787147212	2	1510218955.438798
45.0	0.15625	0.0064553125	0.00368573392042	2	1510218956.4496331

#$Filter:1
